"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","5046","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C320 3.2 i V6 218cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","20918","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200CDI 2.2 CDI 116cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","5045","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C30CDI AMG 3.0 CDI 231cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","25073","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C240 2.6 i V6 4x4 4-Matic 170cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","15573","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200 Kompressor 2.0 i 163cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","5043","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C240 2.6 i V6 170cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","5042","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C220CDI 2.2 CDI 143cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","20919","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200CDI 2.2 CDI 102cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","7171","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200 Kompressor 1.8 i 163cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","5040","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200 Kompressor 2.0 i 163cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","7170","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200 Kompressor 1.8 i 163cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","15576","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200CGI Kompressor 1.8 CGI 170cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","7172","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200 Kompressor 1.8 i Sequentronic 163cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","7167","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C180 Kompressor 1.8 i 143cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","15574","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200CDI 2.2 CDI 102cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","66298","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina 200 CDi 2.1 CDI 16V 122 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","36729","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C220CDI 2.1 CDI 136 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","5044","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C270CDI 2.7 CDI 170cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","66300","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina 200 CDi 2.1 CDI 16V Sequentronic 122 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","20916","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C180 2.0 i 129cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","20917","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C180 2.0 i 129cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","7173","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200CGI Kompressor 1.8 CGI Sequentronic 170cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","35762","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C220CDI 2.1 CDI 136 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","51946","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200CDI 2.15 CDI 16V 122 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","20920","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C240 2.6 i V6 170cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","7169","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C180 Kompressor 1.8 i Sequentronic 143cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","7168","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C180 Kompressor 1.8 i 143cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","46905","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C320 3.2 i V6 18V 218 cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","24631","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C320 3.2 i V6 4x4 4-Matic 218cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","15578","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C270CDI 2.7 CDI 170cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","5041","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200CGI Kompressor 1.8 CGI 170cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","15577","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C220CDI 2.2 CDI 143cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","20921","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C32 AMG Kompressor 3.2 i V6 354cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-659","(203) Berlina (04/2000 - 12/2003)","04/2000","12/2003","15575","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (203) Berlina C200CDI 2.2 CDI 116cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","7267","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 230 2.5 i 204cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31486","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 250 2.15 CDI 4MATIC 16V 204 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31483","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 250 1.8 CGI 16V 204 cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","66305","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina 180 Kompressor 1.6 i 16V 156 cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","29639","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 180 1.6 BE Berlina 156 cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","46524","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina 200 2.2 CDI DPF 16V 136 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","29635","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 200 2.15 CDI BE Berlina 136 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31481","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 220 2.15 CDI BlueEfficiency 16V 204 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","28301","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 320 3.0 CDI V6 4-Matic 7G-TRONIC 224 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","15602","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 320 3.0 CDI 7G-TRONIC 224cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","20946","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 180 Kompressor 1.8 i 156cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","24698","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 280 3.0 i 7G-TRONIC 4x4 4-Matic 231cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","29634","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 250 2.15 CDI BE Berlina 204 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","35766","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina 220 2.15 CDI 163 16V 163 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","33080","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 350 3.0 CDI V6 24V 7G-TRONIC BlueEFFICIENCY 231 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","33081","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 350 3.0 CDI V6 24V BlueEFFICIENCY 231 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31488","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 350 3.0 CDI V6 24V 224 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","7269","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 280 3.0 i 231cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","66307","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina 200 CDi 2.1 CDI 16V BlueEFFICIENCY 136 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31485","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 250 2.15 CDI 4MATIC 16V 7G-TRONIC 204 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","5128","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 200 Kompressor 1.8 i 184cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31490","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C180 1.8 CGI 16V 184 cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","46903","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina 220 2.14 CDI BE DPF 16V 163 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","66306","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina 180 Kompressor 1.6 i 16V 156 cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","20947","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 220 2.15 CDI 170cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31480","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 200 1.8 CGI 16V 184 cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","7270","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 280 3.0 i 7G-TRONIC 231cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","70148","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina 220 CDi 2.2 CDI 16V 163 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","7271","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 350 3.5 i 7G-TRONIC 272cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","24697","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 230 2.5 i 7G-TRONIC 4x4 4-Matic 204cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31489","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 350 3.0 CDI V6 4MATIC 24V 7G-TRONIC 224 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","24696","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 230 2.5 i 7G-TRONIC 4x4 4-Matic 204cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31487","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 350 3.0 CDI V6 24V 7G-TRONIC 224 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31482","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 220 2.15 CDI BlueEfficiency 16V 204 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","7266","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 200 2.15 CDI 136cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","5129","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 220 2.15 CDI 170cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","35765","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina 180 2.15 CDI DPF 120 16V BlueEFFICIENCY 120 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31479","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 200 1.8 CGI 16V 184 cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","33076","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 220 2.15 CDI BlueEfficiency 16V 170 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","15599","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 180 Kompressor 1.8 i 156cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","29636","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 350 3.5 CGI BE V6 Berlina 7G-TRONIC 292 cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31491","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C180 1.8 CGI 16V 184 cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","33075","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 220 2.15 CDI BlueEfficiency 16V 170 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","33077","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 300 3.0 i V6 24V 7G-TRONIC 231 cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","15600","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 200 2.15 CDI 136cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","33082","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 350 3.0 CDI V6 4MATIC 24V 7G-TRONIC BlueEFFICIENCY 231 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","46523","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina 200 2.2 CDI DPF 16V 136 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","33074","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 180 2.15 CDI 120 16V BlueEFFICIENCY 120 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","7268","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 230 2.5 i 7G-TRONIC 204cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","29637","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 180 1.6 BE Berlina 156 cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","20948","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 320 3.0 CDI 224cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","15601","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 200 Kompressor 1.8 i 184cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","33079","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 300 3.0 i V6 4MATIC 24V 7G-TRONIC 231 cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","33078","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 300 3.0 i V6 24V 231 cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","29633","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 250 2.15 CDI BE Berlina 204 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","29632","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 63 AMG 6.2 i V8 Berlina 7G-TRONIC 457 cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","46902","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina 220 2.14 CDI BE DPF 16V 163 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","31484","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 250 1.8 CGI 16V 204 cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","Clase C (204) Berlina (01/2007 - 02/2011)","01/2007","02/2011","24699","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (204) Berlina C 350 3.5 i 7G-TRONIC 4x4 4-Matic 272cv Transmisión automática","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-662","Clase C (203) Fase 2 Berlina (01/2004 - 12/2006)","01/2004","12/2006","7175","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (203) Fase 2 Berlina C220 CGI 1.8 CGI 170cv","Gasolina"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-662","Clase C (203) Fase 2 Berlina (01/2004 - 12/2006)","01/2004","12/2006","66302","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (203) Fase 2 Berlina 200 CDi 2.1 CDI 16V Sequentronic 122 cv Transmisión automática","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-662","Clase C (203) Fase 2 Berlina (01/2004 - 12/2006)","01/2004","12/2006","15585","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C Clase C (203) Fase 2 Berlina C55AMG 5.5 i V8 367cv Transmisión automática","Gasolina"
