"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5099","Evoque I (5p) (03/2011 - 05/2015)","03/2011","05/2015","34278","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I (5p) 2.2 eD4 16V DPF 2WD 150 cv","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5099","Evoque I (5p) (03/2011 - 05/2015)","03/2011","05/2015","34277","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I (5p) 2.0 Si4 16V 4WD BVA6 241 cv Boîte auto","Essence"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5099","Evoque I (5p) (03/2011 - 05/2015)","03/2011","05/2015","34280","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I (5p) 2.2 SD4 16V DPF 4WD 190 cv","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5099","Evoque I (5p) (03/2011 - 05/2015)","03/2011","05/2015","34281","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I (5p) 2.2 TD4 16V DPF 4WD BVA6 150 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5099","Evoque I (5p) (03/2011 - 05/2015)","03/2011","05/2015","34279","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I (5p) 2.2 SD4 16V DPF 4WD BVA6 190 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5099","Evoque I (5p) (03/2011 - 05/2015)","03/2011","05/2015","54443","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I (5p) 2.2 SD4 16V DPF 4WD BVA9 190 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5099","Evoque I (5p) (03/2011 - 05/2015)","03/2011","05/2015","34282","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I (5p) 2.2 TD4 16V DPF 4WD 150 cv","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5099","Evoque I (5p) (03/2011 - 05/2015)","03/2011","05/2015","54445","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I (5p) 2.0 Si4 16V 4WD BVA9 240 cv Boîte auto","Essence"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5099","Evoque I (5p) (03/2011 - 05/2015)","03/2011","05/2015","54444","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I (5p) 2.2 TD4 16V DPF 4WD BVA9 150 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-6199","Evoque I Phase 2 (5p) (06/2015 - 04/2019)","06/2015","04/2019","48672","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I Phase 2 (5p) 2.0 eD4 16V 2WD 150 cv","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-6199","Evoque I Phase 2 (5p) (06/2015 - 04/2019)","06/2015","04/2019","48675","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I Phase 2 (5p) 2.0 TD4 16V 4WD 150 cv","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-6199","Evoque I Phase 2 (5p) (06/2015 - 04/2019)","06/2015","04/2019","48677","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I Phase 2 (5p) 2.0 TD4 16V DPF 4WD BVA9 180 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-6199","Evoque I Phase 2 (5p) (06/2015 - 04/2019)","06/2015","04/2019","62065","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I Phase 2 (5p) 2.0 Si4 16V 4WD BVA9 241 cv Boîte auto","Essence"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-6199","Evoque I Phase 2 (5p) (06/2015 - 04/2019)","06/2015","04/2019","48674","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I Phase 2 (5p) 2.0 TD4 16V 4WD BVA9 150 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-6199","Evoque I Phase 2 (5p) (06/2015 - 04/2019)","06/2015","04/2019","58987","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I Phase 2 (5p) 2.0 TD4 16V DPF 4WD BVA9 241 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-6199","Evoque I Phase 2 (5p) (06/2015 - 04/2019)","06/2015","04/2019","48676","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I Phase 2 (5p) 2.0 TD4 16V 4WD 180 cv","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-6199","Evoque I Phase 2 (5p) (06/2015 - 04/2019)","06/2015","04/2019","48673","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I Phase 2 (5p) 2.0 Si4 16V (Ingenium)4WD BVA9 241 cv Boîte auto","Essence"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-6199","Evoque I Phase 2 (5p) (06/2015 - 04/2019)","06/2015","04/2019","57348","LAND ROVER Range Rover","LAND ROVER Range Rover Evoque I Phase 2 (5p) 2.0 Si4 16V 4WD BVA9 290 cv Boîte auto","Essence"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-1696","Sport I (06/2005 - 08/2009)","06/2005","08/2009","15387","LAND ROVER Range Rover","LAND ROVER Range Rover Sport I 4.4 i V8 32V 299 cv Boîte auto","Essence"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-1696","Sport I (06/2005 - 08/2009)","06/2005","08/2009","4749","LAND ROVER Range Rover","LAND ROVER Range Rover Sport I 4.2 i V8 32V 396 cv Boîte auto","Essence"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-1696","Sport I (06/2005 - 08/2009)","06/2005","08/2009","6751","LAND ROVER Range Rover","LAND ROVER Range Rover Sport I 2.7 TDV6 24V 190 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-1696","Sport I (06/2005 - 08/2009)","06/2005","08/2009","20706","LAND ROVER Range Rover","LAND ROVER Range Rover Sport I 3.6 TDV8 32V 272 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5647","Sport II (06/2013 - 10/2017)","06/2013","10/2017","50592","LAND ROVER Range Rover","LAND ROVER Range Rover Sport II 3.0 SDV6 24V 354 Hybrid 306 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5647","Sport II (06/2013 - 10/2017)","06/2013","10/2017","50595","LAND ROVER Range Rover","LAND ROVER Range Rover Sport II 3.0 TDV6 24V 248 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5647","Sport II (06/2013 - 10/2017)","06/2013","10/2017","39047","LAND ROVER Range Rover","LAND ROVER Range Rover Sport II 3.0 TDV6 24V DPF 258 cv Boîte auto","Diesel"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5647","Sport II (06/2013 - 10/2017)","06/2013","10/2017","40890","LAND ROVER Range Rover","LAND ROVER Range Rover Sport II SC 3.0 V6 24V 340 cv Boîte auto","Essence"
"ma-121","LAND ROVER","fa-422","Range Rover","mo-5647","Sport II (06/2013 - 10/2017)","06/2013","10/2017","50597","LAND ROVER Range Rover","LAND ROVER Range Rover Sport II SC 5.0 V8 32V 510 cv Boîte auto","Essence"
