brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46509,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo XWD Berlina 16V 163 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46512,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo XWD Berlina 16V Sentronic 210 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,22937,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.9 TiD Berlina 150cv Transmisión automática,Diesel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,12049,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo Berlina 175cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46490,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.9 TiD Berlina 160 cv Transmisión automática,Diesel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46503,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo Berlina 16V 163 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,12047,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.9 TiD Berlina 120cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,29755,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.8 t Turbo BioPower 175 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46511,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo XWD Berlina 16V 220 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,12046,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.8 i Berlina 122cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46496,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo Berlina 16V Sentronic 220 cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,22935,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.8 t Turbo Berlina 150cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,29756,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo BioPower Sentronic 200 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,12048,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo Berlina 175cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,29751,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo XWD Sentronic 210 cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,30951,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.9 TTiD 180 cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,43989,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.8t BioPower 2.0 t Turbo Berlina 16V 150 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46508,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo Berlina 16V Sentronic 220 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,29752,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.8 t V6 XWD 280 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46513,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo XWD Berlina 16V Sentronic 220 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,29753,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.8 t V6 XWD Sentronic 280 cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46506,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo Berlina 16V 220 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,8599,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo Berlina 210cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46492,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.9 TiD Berlina 160 cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,29754,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.8 t Turbo BioPower Sentronic 175 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,43987,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.8t BioPower 2.0 t Turbo Berlina 16V 150 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46498,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo XWD Berlina 16V 220 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,17772,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.9 TiD Berlina 150cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46494,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo Berlina 16V 163 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46507,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo Berlina 16V Sentronic 210 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,29750,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo XWD 210 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46502,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo Berlina 16V 163 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,22939,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.8 turbo V6 Berlina 250cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,29757,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo BioPower 200 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,17773,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo Berlina 210cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,30950,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.9 TTiD 180 cv Transmisión automática,Diesel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46504,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo Berlina 16V 175 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46495,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo Berlina 16V 220 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46505,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo Berlina 16V 210 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46500,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.8 t V6 Berlina 24V 256 cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,22936,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.8 t Turbo 150cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46491,SAAB 9-3,SAAB 9-3 Berlina Fase 2 1.9 TiD Berlina 130 cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,22938,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.2 TiD Berlina 125cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46499,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo XWD Berlina 16V Sentronic 220 cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46501,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.8 t V6 Berlina 24V 256 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46510,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo XWD Berlina 16V 210 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46497,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo XWD Berlina 16V 163 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,22940,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.8 turbo V6 Berlina 250cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,46493,SAAB 9-3,SAAB 9-3 Berlina Fase 2 2.0 t Turbo Berlina 16V 163 cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-277,Berlina Fase 2 (09/2002 - 03/2012),09/2002,03/2012,43986,SAAB 9-3,SAAB 9-3 Berlina Fase 2 BioPower 2.0 t Turbo Berlina 16V Sentronic 175 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46488,SAAB 9-3,SAAB 9-3 Estate BioPower 2.0 t Turbo XWD Familiar 16V 210 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46479,SAAB 9-3,SAAB 9-3 Estate 2.0 t Turbo XWD Familiar 16V 163 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46474,SAAB 9-3,SAAB 9-3 Estate 1.8t BioPower 2.0 ti Turbo Familiar 16V Sentronic 150 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46480,SAAB 9-3,SAAB 9-3 Estate 2.8 t V6 Familiar 24V 256 cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46481,SAAB 9-3,SAAB 9-3 Estate 2.8 t V6 Familiar 24V 256 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,8598,SAAB 9-3,SAAB 9-3 Estate 2.8 turbo V6 Familiar 250cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,22934,SAAB 9-3,SAAB 9-3 Estate 1.9 TiD Familiar 120cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,43988,SAAB 9-3,SAAB 9-3 Estate 1.8t BioPower 2.0 ti Turbo Familiar 16V 150 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46478,SAAB 9-3,SAAB 9-3 Estate 2.0 t Turbo Familiar 16V 163 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46476,SAAB 9-3,SAAB 9-3 Estate 1.9 TTiD Familiar 16V 160 cv Transmisión automática,Diesel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,17771,SAAB 9-3,SAAB 9-3 Estate 2.8 turbo V6 Familiar 250cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,17769,SAAB 9-3,SAAB 9-3 Estate 1.9 TiD Familiar 150cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46477,SAAB 9-3,SAAB 9-3 Estate 1.9 TTiD Familiar 16V 160 cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,29747,SAAB 9-3,SAAB 9-3 Estate 1.8 t Turbo BioPower Sentronic 175 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,30948,SAAB 9-3,SAAB 9-3 Estate 1.9 TTiD 180 cv Transmisión automática,Diesel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,8595,SAAB 9-3,SAAB 9-3 Estate 1.8 t Turbo Familiar 150cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,29749,SAAB 9-3,SAAB 9-3 Estate 2.0 t Turbo BioPower 200 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,12044,SAAB 9-3,SAAB 9-3 Estate 2.0 t Turbo Familiar 210cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46484,SAAB 9-3,SAAB 9-3 Estate BioPower 2.0 t Turbo Familiar 16V 220 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,29748,SAAB 9-3,SAAB 9-3 Estate 2.0 t Turbo BioPower Sentronic 200 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,8594,SAAB 9-3,SAAB 9-3 Estate 1.8 i Familiar 122cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46483,SAAB 9-3,SAAB 9-3 Estate BioPower 2.0 t Turbo Familiar 16V 163 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,8596,SAAB 9-3,SAAB 9-3 Estate 1.9 TiD Familiar 150cv Transmisión automática,Diesel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,12045,SAAB 9-3,SAAB 9-3 Estate 2.0 t Turbo Familiar 210cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,29746,SAAB 9-3,SAAB 9-3 Estate 1.8 t Turbo BioPower 175 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46487,SAAB 9-3,SAAB 9-3 Estate BioPower 2.0 t Turbo XWD Familiar 16V 163 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,29743,SAAB 9-3,SAAB 9-3 Estate 2.8 t V6 XWD Sentronic 280 cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,30949,SAAB 9-3,SAAB 9-3 Estate 1.9 TTiD 180 cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,29742,SAAB 9-3,SAAB 9-3 Estate 2.8 t V6 XWD 280 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,17768,SAAB 9-3,SAAB 9-3 Estate 1.8 t Turbo Familiar 150cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,17770,SAAB 9-3,SAAB 9-3 Estate 2.0 t Turbo Familiar 175cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46486,SAAB 9-3,SAAB 9-3 Estate BioPower 2.0 t Turbo XWD Familiar 16V 220 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46475,SAAB 9-3,SAAB 9-3 Estate 1.9 TiD Familiar 16V 130 cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,29745,SAAB 9-3,SAAB 9-3 Estate 2.0 t Turbo XWD Sentronic 210 cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46482,SAAB 9-3,SAAB 9-3 Estate BioPower 2.0 t Turbo Familiar 16V 220 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46489,SAAB 9-3,SAAB 9-3 Estate BioPower 2.0 t Turbo XWD Familiar 16V 220 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,29744,SAAB 9-3,SAAB 9-3 Estate 2.0 t Turbo XWD 210 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,46485,SAAB 9-3,SAAB 9-3 Estate BioPower 2.0 t Turbo XWD Familiar 16V 210 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-276,Estate (01/2005 - 03/2012),01/2005,03/2012,8597,SAAB 9-3,SAAB 9-3 Estate 2.0 t Turbo Familiar 175cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,22920,SAAB 9-3,SAAB 9-3 Berlina 2.0 i 131cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,8585,SAAB 9-3,SAAB 9-3 Berlina 2.0 i Turbo 185cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,17761,SAAB 9-3,SAAB 9-3 Berlina 2.0 i Turbo 150cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,8586,SAAB 9-3,SAAB 9-3 Berlina 2.0 i Turbo 205cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,8588,SAAB 9-3,SAAB 9-3 Berlina 2.3 i Turbo 224cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,8587,SAAB 9-3,SAAB 9-3 Berlina 2.0 SE Turbo 200cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,12036,SAAB 9-3,SAAB 9-3 Berlina 2.2 TiD 115cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,22924,SAAB 9-3,SAAB 9-3 Berlina 2.3 i 149cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,12037,SAAB 9-3,SAAB 9-3 Berlina 2.2 TiD 125cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,58316,SAAB 9-3,SAAB 9-3 Berlina 2.3 i Turbo 16V 230 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,12035,SAAB 9-3,SAAB 9-3 Berlina 2.0 i Turbo 185cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,17762,SAAB 9-3,SAAB 9-3 Berlina 2.0 i Turbo 205cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,22922,SAAB 9-3,SAAB 9-3 Berlina 2.0 i Turbo 154cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,8584,SAAB 9-3,SAAB 9-3 Berlina 2.0 i Turbo 150cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,22921,SAAB 9-3,SAAB 9-3 Berlina 2.0 i Turbo 154cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,22923,SAAB 9-3,SAAB 9-3 Berlina 2.0 SE Turbo 200cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,22919,SAAB 9-3,SAAB 9-3 Berlina 2.0 i 131cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-274,Berlina (04/1998 - 08/2002),04/1998,08/2002,22925,SAAB 9-3,SAAB 9-3 Berlina 2.3 i 149cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,51079,SAAB 9-3,SAAB 9-3 Descapotable 1.9 TiD 120 cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,46466,SAAB 9-3,SAAB 9-3 Descapotable BioPower 2.0 t Turbo 16V 163 cv Transmisión automática,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,12040,SAAB 9-3,SAAB 9-3 Descapotable 1.9 TiD 150cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,30946,SAAB 9-3,SAAB 9-3 Descapotable 1.9 TTiD 180 cv Transmisión automática,Diesel
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,46473,SAAB 9-3,SAAB 9-3 Descapotable Performance 2.0 t Turbo 16V 252 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,51078,SAAB 9-3,SAAB 9-3 Descapotable 1.9 TiD 16V 130 cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,46456,SAAB 9-3,SAAB 9-3 Descapotable 2.0 t Turbo 16V 163 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,46463,SAAB 9-3,SAAB 9-3 Descapotable 2.8 t V6 24V 256 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,46453,SAAB 9-3,SAAB 9-3 Descapotable 1.9 TiD DPF 16V 160 cv,Diesel
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,46470,SAAB 9-3,SAAB 9-3 Descapotable BioPower 2.0 t Turbo 16V 175 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,46472,SAAB 9-3,SAAB 9-3 Descapotable Performance 2.0 t Turbo 16V 252 cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,8593,SAAB 9-3,SAAB 9-3 Descapotable 1.8 t Turbo 150cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,46471,SAAB 9-3,SAAB 9-3 Descapotable BioPower 2.0 t Turbo 16V 220 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,29738,SAAB 9-3,SAAB 9-3 Descapotable 1.8 t Turbo BioPower 175 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,46461,SAAB 9-3,SAAB 9-3 Descapotable 2.8 t V6 24V 280 cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,29740,SAAB 9-3,SAAB 9-3 Descapotable 2.0 t Turbo BioPower 200 cv,Flex Fuel
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,17767,SAAB 9-3,SAAB 9-3 Descapotable 2.0 t Turbo 175cv Transmisión automática,Gasolina
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,46457,SAAB 9-3,SAAB 9-3 Descapotable 2.0 t Turbo 16V 220 cv,Gasolina
ma-181,SAAB,fa-711,9-3,mo-275,Descapotable (06/2003 - 03/2012),06/2003,03/2012,12042,SAAB 9-3,SAAB 9-3 Descapotable 2.8 t V6 250cv,Gasolina
